Key,japanese



ammo308mmBulletBallDesc,火器用の弾丸として使用される.308の実包です。作業台でのクラフトが可能です。
ammo308mmBulletBall,.308弾
ammo308mmBulletHP,ハイパワー.308弾
ammo308mmBulletAP,AP.308弾

ammoBundle308mmBulletBall,.308弾（100）個入りの箱
ammoBundle308mmBulletHP,HP.308弾（100）個入りの箱,
ammoBundle308mmBulletAP,AP.308弾（100）個入りの箱,

buffNewbieCoatDesc,ホワイトリバー居住区からの特別支援が届いています。体力が少しずつ自動回復し、スタミナ消費が軽減されています。死亡による経験値ペナルティはありません。\n\nこの保護はレベル6でなくなりますのでよく考えて行動しましょう。
buffNewbieCoatName,初心者保護
buffNovisCoatDesc,初心者は脱したようですが、まだ不慣れなあなたにホワイトリバーからの物資が少し届いています。体力がわずかに回復し、スタミナの消費が少し軽減されています。\n\nこの保護はレベル11でなくなりますのでよく考えて行動しましょう。
buffNovisCoatName,放浪者保護

resourceRepairKit,簡易修理キット
resourceRepairKitDesc,簡易修理キットは鉄製ツールや武器、車両などの修復に使用されます。\n\nこのキットでは鋼鉄製の製品やスタンバトン、銃器やロボットを修理することができません。

resourceSteelTipDesc,スチールコア弾頭は炉でのクラフトが可能であり、火器用のAP弾薬のクラフトに使用します。
resourceSteelTip,スチールコア弾頭

meleeToolRepairT3NailgunDesc,ネイルガンは拠点の壁を修復したりアップグレードしたりするのに最高のツールです。また、釘を持っている場合は武器としても悪くありません。\n\n鉄鋼ツールパーツで修理可能。\n解体すると機械部品に。

meleeToolAxeT2SteelAxeDesc,鉄鋼斧には丈夫な刃がついており、木材の採取に役立ちます。\n\n鉄鋼ツールパーツで修理可能。\n解体すると鉄鋼ツールパーツに。

meleeToolPickT2SteelPickaxeDesc,鉄鋼つるはしは砕石や鉱石の採取に最適です。\n\n鉄鋼ツールパーツで修理可能。\n解体すると鉄鋼ツールパーツに。

meleeToolShovelT2SteelShovelDesc,鉄鋼ショベルはとても丈夫で地面や砂、雪などを掘るのに理想的なツールです。\n\n鉄鋼ツールパーツで修理可能。\n解体すると鉄鋼ツールパーツに。

meleeToolAxeT3ChainsawDesc,ぶっとい木やゾンビをポール・バニヤンよりも手早くぶった切りましょう。ガソリンを燃料とする偉大なチェーンソーです。\n\n動力ツールパーツで修理可能。\n解体すると動力ツールパーツに。

meleeToolPickT3AugerDesc,鼻歌まじりにこのセクシーなガソリン駆動オーガーを操りながら、採掘している他の連中を羨ましがらせましょう。\n\n動力ツールパーツで修理可能。\n解体すると動力ツールパーツに。

meleeToolSalvageT2RatchetDesc,車両や室外機などの機械を分解するのにとても便利です。\n\n鉄鋼ツールパーツで修理可能。\n解体すると鉄鋼ツールパーツに。

meleeToolSalvageT3ImpactDriverDesc,車両や室外機などの機械を分解するのにとても便利です。\n\n動力ツールパーツで修理可能。\n解体すると動力ツールパーツに。

meleeWpnBladeT3MacheteDesc,ゾンビや木を切り刻んだり、動物の解体に使用できます。\n通常攻撃によって流血ダメージ。パワーアタックだと出血多量にさせることができます。\nマチェーテパーツで修理可能。\n解体するとマチェーテパーツに。

